02.27.2025 08:49:25 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:49:55 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:51:03 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:51:09 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:52:45 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:55:17 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:56:18 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:57:21 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:57:58 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:58:19 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:58:48 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 08:59:56 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:00:13 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:02:59 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:03:56 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:04:23 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:05:51 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:08:10 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:08:57 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:09:39 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:09:54 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:11:14 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:14:14 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:14:48 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
02.27.2025 09:16:07 | User Error | Missing credential/s C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
