03.03.2025 02:03:34 | User Error | Invalid email or password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 02:05:03 | User Error | Invalid email or password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 02:05:16 | User Error | Invalid email or password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:01:10 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:02:15 | User Error | existent-email C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:20:45 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:22:55 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:24:11 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:24:22 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:24:43 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:27:18 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:27:48 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:28:18 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:30:49 | User Error | existent-email C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:31:07 | User Error | existent-email C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:35:16 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 03:40:28 | User Error | existent-username C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:12:46 | User Error | jwtRefresh cookie or access token not found C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:36:58 | User Error | jwtRefresh cookie or access token not found C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:38:25 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:38:38 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:38:52 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:39:20 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:39:43 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:39:53 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.03.2025 06:41:12 | User Error | jwtRefresh cookie or access token not deleted C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
