03.08.2025 03:35:25 | User Error | invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:46:51 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:47:30 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:47:44 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:48:25 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:48:45 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:49:16 | User Error | User not found C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:53:47 | User Error | User not found C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:53:53 | User Error | User not found C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:54:06 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:54:18 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 03:54:47 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
03.08.2025 04:03:35 | User Error | Invalid password C:\Users\loren\webDevelopment\phpExcercises\mvc-login-signup\app\controllers\Authentication.php
